Time,fps,PitchT,PitchF,DelayCounter,DelayTime
6.355104,0,0,10,0,NaN
6.377715,0,0,10,0,NaN
6.399356,3,0,10,0,0
6.420333,3,0,10,0,0
6.44279,3,0,10,0,0
6.463748,3,0,10,0,0
6.484557,3,0,10,0,0
6.505656,3,0,10,0,0
6.527679,3,0,10,0,0
6.549223,3,0,10,0,0
6.570875,3,0,10,0,0
6.598732,3,0,10,0,0
6.621265,3,0,10,0,0
6.643477,3,0,10,0,0
6.665602,3,0,10,0,0
6.687955,3,0,10,0,0
6.711354,3,0,10,0,0
6.73342,3,0,10,0,0
6.756947,3,0,10,0,0
6.784603,3,0,10,0,0
6.805333,3,0,10,0,0
6.826171,3,0,10,0,0
6.853104,3,0,10,0,0
6.874939,3,0,10,0,0
6.899152,3,0,10,0,0
6.92132,3,0,10,0,0
6.943778,3,0,10,0,0
6.965726,3,0,10,0,0
6.988966,3,0,10,0,0
7.010298,3,0,10,0,0
7.03318,3,0,10,0,0
7.055528,3,0,10,0,0
7.077201,3,0,10,0,0
7.10351,3,0,10,0,0
7.124251,3,0,10,0,0
7.145701,3,0,10,0,0
7.166577,3,0,10,0,0
7.187691,3,0,10,0,0
7.208251,3,0,10,0,0
7.235445,3,0,10,0,0
7.257382,3,0,10,0,0
7.279272,3,0,10,0,0
7.300237,3,0,10,0,0
7.321468,3,0,10,0,0
7.342745,3,0,10,0,0
7.363793,3,0,10,0,0
7.383863,44,0,10,0,0
7.405308,44,0,10,0,0
7.425889,44,0,10,0,0
7.448301,44,0,10,0,0
7.469788,44,0,10,0,0
7.492587,44,0,10,0,0
7.512417,44,0,10,0,0
7.533987,44,0,10,0,0
7.566332,44,5,1,0,0
7.593095,44,5,1,0,0
7.616757,44,5,1,0,0
7.638541,44,5,1,0,0
7.659334,44,5,1,0,0
7.685325,44,5,1,0,0
7.716882,44,5,1,0,0
7.738626,44,5,1,0,0
7.75958,44,5,1,0,0
7.779872,44,5,1,0,0
7.800495,44,5,1,0,0
7.8208,44,5,1,0,0
7.842271,44,5,1,0,0
7.863039,44,5,1,0,0
7.883648,44,5,1,0,0
7.904425,44,5,1,0,0
7.929512,44,5,1,0,0
7.949732,44,5,1,0,0
7.969419,44,5,1,0,0
7.989523,44,5,1,0,0
8.010767,44,5,1,0,0
8.030222,44,5,1,0,0
8.050117,44,5,1,0,0
8.07041,44,5,1,0,0
8.090394,44,5,1,0,0
8.110745,44,5,1,0,0
8.13009,44,5,1,0,0
8.149618,44,5,1,0,0
8.168882,44,5,1,0,0
8.188874,44,5,1,0,0
8.208341,44,5,1,0,0
8.22858,44,5,1,0,0
8.253984,44,5,1,0,0
8.273589,44,5,1,0,0
8.295883,44,5,1,0,0
8.316012,44,5,1,0,0
8.336492,44,5,1,0,0
8.356362,44,5,1,0,0
8.37667,44,5,1,0,0
8.397014,47,5,1,0,0
8.418017,47,5,1,0,0
8.440472,47,5,1,0,0
8.460665,47,5,1,0,0
8.481226,47,5,1,0,0
8.500676,47,5,1,0,0
8.520408,47,5,1,0,0
8.540061,47,5,1,0,0
8.56029,47,5,1,0,0
8.580854,47,5,1,0,0
8.601262,47,5,1,0,0
8.621286,47,5,1,0,0
8.641047,47,5,1,0,0
8.661874,47,5,1,0,0
8.683331,47,5,1,0,0
8.70332,47,5,1,0,0
8.724348,47,5,1,0,0
8.749393,47,5,1,0,0
8.768864,47,5,1,0,0
8.789649,47,5,1,0,0
8.812068,47,5,1,0,0
8.832134,47,5,1,0,0
8.851801,47,5,1,0,0
8.871855,47,5,1,0,0
8.891827,47,5,1,0,0
8.912357,47,5,1,0,0
8.932357,47,5,1,0,0
8.952576,47,5,1,0,0
8.972213,47,5,1,0,0
8.994844,47,5,1,0,0
9.014447,47,5,1,0,0
9.036436,47,5,1,0,0
9.057058,47,5,1,0,0
9.07765,47,5,1,0,0
9.098112,47,5,1,0,0
9.11785,47,5,1,0,0
9.138056,47,5,1,0,0
9.16211,47,5,1,0,0
9.182393,47,5,1,0,0
9.208036,47,5,1,0,0
9.22865,47,5,1,0,0
9.249108,47,5,1,0,0
9.27641,47,5,1,0,0
9.302524,47,5,1,0,0
9.322563,47,5,1,0,0
9.343396,47,5,1,0,0
9.363566,47,5,1,0,0
9.38343,47,5,1,0,0
9.404525,47,5,1,0,0
9.431123,47,5,1,0,0
9.451509,47,5,1,0,0
9.471195,47,5,1,0,0
9.491175,47,5,1,0,0
9.511734,47,5,1,0,0
9.531135,47,5,1,0,0
9.550969,47,5,1,0,0
9.570416,47,5,1,0,0
9.59024,47,5,1,0,0
9.610847,47,5,1,0,0
9.630324,47,5,1,0,0
9.650885,47,5,1,0,0
9.673332,47,5,1,0,0
9.694536,47,5,1,0,0
9.715011,47,5,1,0,0
9.737603,47,5,1,0,0
9.757573,47,5,1,0,0
9.783777,47,5,1,0,0
9.806087,47,5,1,0,0
9.825959,47,5,1,0,0
9.847776,47,5,1,0,0
9.867805,47,5,1,0,0
9.887494,47,5,1,0,0
9.910884,47,5,1,0,0
9.933852,47,5,1,0,0
