Time,fps,DelayCounter,DelayTime
9.313529,1,0,0
9.347622,1,0,0
9.377708,1,0,0
9.413957,1,0,0
9.443695,1,0,0
9.478149,1,0,0
9.508313,1,0,0
9.54126,1,0,0
9.572624,1,0,0
9.602599,1,0,0
9.633155,1,0,0
9.667109,1,0,0
9.700842,1,0,0
9.733899,1,0,0
9.764125,1,0,0
9.792526,1,0,0
9.822283,1,0,0
9.852965,17,0,0
9.887665,17,0,0
9.919082,17,0,0
9.950163,17,0,0
9.983579,17,0,0
10.01436,17,0,0
10.04666,17,0,0
10.079,17,0,0
10.10837,17,0,0
10.14853,17,0,0
10.18279,17,0,0
10.21491,17,0,0
10.24789,17,0,0
10.28528,17,0,0
10.32271,17,0,0
10.35589,17,0,0
10.38857,17,0,0
10.42077,17,0,0
10.45597,17,0,0
10.48593,17,0,0
10.52081,17,0,0
10.55064,17,0,0
10.58349,17,0,0
10.61273,17,0,0
10.64455,17,0,0
10.67515,17,0,0
10.70555,17,0,0
10.73719,17,0,0
10.76927,17,0,0
10.81628,17,0,0
10.848,17,0,0
10.8824,31,0,0
10.9143,31,0,0
10.9502,31,0,0
10.98286,31,0,0
11.01366,31,0,0
11.04502,31,0,0
11.07441,31,0,0
11.10339,31,0,0
11.13317,31,0,0
11.166,31,0,0
11.1941,31,0,0
11.22177,31,0,0
11.24995,31,0,0
11.28509,31,0,0
11.3145,31,0,0
11.34502,31,0,0
11.37315,31,0,0
11.40259,31,0,0
11.433,31,0,0
11.46226,31,0,0
11.49256,31,0,0
11.52191,31,0,0
11.58577,31,0,0
11.62626,31,0,0
11.65563,31,0,0
11.68576,31,0,0
11.71601,31,0,0
11.74732,31,0,0
11.7787,31,0,0
11.80863,31,0,0
11.83791,31,0,0
11.87093,31,0,0
11.90425,31,0,0
11.93696,31,0,0
11.97047,31,0,0
12.00006,31,0,0
12.02976,31,0,0
12.05788,31,0,0
12.0878,31,0,0
12.11716,31,0,0
12.14647,31,0,0
12.17879,31,0,0
12.21433,31,0,0
12.25627,31,0,0
12.28578,31,0,0
12.3332,31,0,0
12.36516,31,0,0
12.39663,31,0,0
12.42767,31,0,0
12.45537,31,0,0
12.48625,31,0,0
12.52004,31,0,0
12.55143,31,0,0
12.58574,31,0,0
12.62336,31,0,0
12.6542,31,0,0
12.6833,31,0,0
12.71825,31,0,0
12.76264,31,0,0
12.79288,31,0,0
12.82614,31,0,0
12.86114,30,0,0
12.89725,30,0,0
12.9309,30,0,0
12.96002,30,0,0
12.99084,30,0,0
13.02066,30,0,0
13.05224,30,0,0
13.08289,30,0,0
13.12333,30,0,0
13.15292,30,0,0
13.18553,30,0,0
13.21967,30,0,0
13.25206,30,0,0
13.28358,30,0,0
13.3194,30,0,0
13.35126,30,0,0
13.3841,30,0,0
13.41829,30,0,0
13.4511,30,0,0
13.48839,30,0,0
13.51923,30,0,0
13.5496,30,0,0
13.58058,30,0,0
13.60806,30,0,0
13.63873,30,0,0
13.66886,30,0,0
13.70443,30,0,0
13.74543,30,0,0
13.7738,30,0,0
13.80511,30,0,0
13.84755,30,0,0
13.88587,31,0,0
13.92003,31,0,0
13.94978,31,0,0
14.0027,31,0,0
14.03879,31,0,0
14.07165,31,0,0
14.10197,31,0,0
14.13492,31,0,0
14.16402,31,0,0
14.19654,31,0,0
14.2304,31,0,0
14.26143,31,0,0
14.29171,31,0,0
14.32353,31,0,0
14.35235,31,0,0
14.38412,31,0,0
14.41692,31,0,0
14.44598,31,0,0
14.47488,31,0,0
14.51229,31,0,0
14.53953,31,0,0
14.56948,31,0,0
14.60397,31,0,0
14.63635,31,0,0
14.67011,31,0,0
14.70482,31,0,0
14.73725,31,0,0
14.77742,31,0,0
14.80738,31,0,0
14.83977,31,0,0
14.87322,30,0,0
14.90796,30,0,0
14.93937,30,0,0
14.97107,30,0,0
15.01145,30,0,0
15.04552,30,0,0
15.08154,30,0,0
15.11977,30,0,0
15.15327,30,0,0
15.1889,30,0,0
15.2235,30,0,0
15.25544,30,0,0
15.29045,30,0,0
15.31966,30,0,0
15.3479,30,0,0
15.38038,30,0,0
15.41241,30,0,0
15.44573,30,0,0
15.4739,30,0,0
15.51397,30,0,0
15.54304,30,0,0
15.57498,30,0,0
15.60663,30,0,0
15.64259,30,33,1
15.67352,30,130,4
