Time,fps,PitchT,PitchF,DelayCounter,DelayTime
8.645119,1,0,0,0,0
8.678568,1,0,0,0,0
8.711802,1,0,0,0,0
8.74763,1,0,0,0,0
8.785022,1,0,0,0,0
8.818301,1,0,0,0,0
8.857697,6,0,0,0,0
8.890935,6,0,0,0,0
8.924164,6,0,0,0,0
8.958463,6,0,0,0,0
8.991708,6,0,0,0,0
9.024941,6,0,0,0,0
9.058186,6,0,0,0,0
9.101779,6,0,0,0,0
9.148413,6,5,1,0,0
9.188049,6,5,1,0,0
9.221283,6,5,1,0,0
9.265865,6,5,1,0,0
9.316041,6,5,1,0,0
9.35997,6,5,1,0,0
9.393205,6,5,1,0,0
9.431585,6,5,1,0,0
9.464857,6,5,1,0,0
9.498055,6,5,1,0,0
9.531757,6,5,1,0,0
9.570148,6,5,1,0,0
9.606527,6,5,1,0,0
9.639763,6,5,1,0,0
9.676867,6,5,1,0,0
9.722479,6,5,1,0,0
9.756065,6,5,1,0,0
9.790649,6,5,1,0,0
9.823914,6,5,1,0,0
9.857126,27,5,1,0,0
9.892506,27,5,1,0,0
9.926003,27,5,1,0,0
9.959949,27,5,1,0,0
9.995471,27,5,1,0,0
10.0305,27,5,1,0,0
10.06414,27,5,1,0,0
10.09776,27,5,1,0,0
10.14387,27,5,1,0,0
10.18185,27,5,1,0,0
10.21814,27,5,1,0,0
10.25137,27,5,1,0,0
10.28604,27,5,1,0,0
10.31993,27,5,1,0,0
10.35328,27,5,1,9,0.3333333
10.38697,27,5,1,19,0.7037037
14.4647,29,5,1,135,4.655172
14.50058,29,5,1,86,2.965517
14.54311,29,5,1,0,0
14.57803,29,5,1,0,0
14.61371,29,5,1,0,0
14.64738,29,5,1,0,0
14.69417,29,5,1,0,0
14.7358,29,5,1,0,0
14.76903,29,5,1,0,0
14.80245,29,5,1,0,0
14.83549,29,5,1,0,0
14.86874,28,5,1,0,0
14.90196,28,5,1,0,0
14.93554,28,5,1,0,0
14.96857,28,5,1,0,0
15.00167,28,5,1,0,0
15.04825,28,5,1,0,0
15.08165,28,5,1,0,0
15.11763,28,5,1,0,0
15.16149,28,5,1,0,0
15.19473,28,5,1,0,0
15.22796,28,5,1,0,0
15.2612,28,5,1,0,0
15.29695,28,5,1,0,0
15.33334,28,5,1,0,0
15.36776,28,5,1,0,0
15.401,28,5,1,0,0
15.43423,28,5,1,0,0
15.46792,28,5,1,0,0
15.50096,28,5,1,0,0
15.53421,28,5,1,0,0
15.56745,28,5,1,0,0
15.60068,28,5,1,0,0
15.63391,28,5,1,0,0
15.66716,28,5,1,0,0
15.70445,28,5,1,0,0
15.74026,28,5,1,0,0
15.7735,28,5,1,0,0
15.80694,28,5,1,0,0
15.84388,28,5,1,0,0
15.88335,29,5,1,0,0
15.92039,29,5,1,0,0
15.95397,29,5,1,0,0
15.99466,29,5,1,0,0
16.02791,29,5,1,0,0
16.06167,29,5,1,0,0
16.09536,29,5,1,0,0
16.12814,29,5,1,0,0
16.16141,29,5,1,0,0
16.1946,29,5,1,0,0
16.22793,29,5,1,0,0
16.26117,29,5,1,0,0
16.29663,29,5,1,0,0
